id,group,facility,start,duration,end_time,x,y,deviation_start,deviation_dur,cum_utility,total_deviation_start,total_deviation_dur,utility,DSSR_iterations,execution_time
6336983,home,home2791592,00:00:00,00:05:00,00:05:00,2537882,1153047,00:00:00,00:00:00,0.0,02:00:00,01:10:00,-19.24,2,0.012
6336983,home,home2791592,00:05:00,07:15:00,07:20:00,2537882,1153047,00:00:00,00:00:00,0.0,02:00:00,01:10:00,-19.24,2,0.012
6336983,leisure,27610,07:20:00,00:15:00,07:35:00,2538796,1151086,01:00:00,00:00:00,-8.74,02:00:00,01:10:00,-19.24,2,0.012
6336983,home,home2791592,07:35:00,05:20:00,12:55:00,2537882,1153047,01:00:00,00:45:00,-8.74,02:00:00,01:10:00,-19.24,2,0.012
6336983,shop,381504,12:55:00,00:15:00,13:10:00,2536512,1152284,02:00:00,00:45:00,-19.24,02:00:00,01:10:00,-19.24,2,0.012
6336983,home,home2791592,13:10:00,03:50:00,17:00:00,2537882,1153047,02:00:00,01:10:00,-19.24,02:00:00,01:10:00,-19.24,2,0.012
6336983,home,home2791592,17:00:00,07:00:00,23:59:00,2537882,1153047,02:00:00,01:10:00,-19.24,02:00:00,01:10:00,-19.24,2,0.012
6337004,home,home2791613,00:00:00,00:05:00,00:05:00,2539169,1152766,00:00:00,00:00:00,0.0,01:00:00,00:10:00,-10.1,1,0.015
6337004,home,home2791613,00:05:00,14:55:00,15:00:00,2539169,1152766,00:00:00,00:00:00,0.0,01:00:00,00:10:00,-10.1,1,0.015
6337004,shop,381504,15:10:00,00:15:00,15:25:00,2536512,1152284,01:00:00,00:00:00,-10.3,01:00:00,00:10:00,-10.1,1,0.015
6337004,home,home2791613,15:35:00,01:25:00,17:00:00,2539169,1152766,01:00:00,00:10:00,-10.1,01:00:00,00:10:00,-10.1,1,0.015
6337004,home,home2791613,17:00:00,07:00:00,23:59:00,2539169,1152766,01:00:00,00:10:00,-10.1,01:00:00,00:10:00,-10.1,1,0.015
